brain_region,measurement,standard_deviation,measurement_type,measurement_unit,cell_type,source_title,comment,specimen_age
"Prelimbic area, layer 5",7800.491145596,426.8990801284,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
Orbital area,5053.717469443,301.37568846700003,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Orbital area, lateral part",4549.359527546,233.4477533077,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Orbital area, lateral part, layer 1",1629.6166665197,221.66751763599999,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Orbital area, lateral part, layer 2/3",4281.1507108758005,328.07183100009996,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Orbital area, lateral part, layer 5",6046.7530621458,336.0134304329,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Orbital area, medial part",5405.3644366934,323.77790017,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Orbital area, medial part, layer 1",2041.0271783720002,387.3741649044,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Orbital area, medial part, layer 2",3695.3954532068,444.0190946873,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Orbital area, medial part, layer 2/3",5436.8620528466,427.499319691,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Orbital area, medial part, layer 5",7364.2128927816,515.6388187184,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Orbital area, ventrolateral part",5425.833522164799,424.0211569522,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Orbital area, ventrolateral part, layer 1",2534.1509524607,419.0966736236,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Orbital area, ventrolateral part, layer 2/3",5828.3329961601,635.1328377099,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Orbital area, ventrolateral part, layer 5",6864.463565197199,478.0790935447,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
Agranular insular area,4653.7324047569,177.9025618022,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Agranular insular area, dorsal part",4406.2597014544,175.7108464741,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Agranular insular area, dorsal part, layer 1",1048.0017724051,327.625209431,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Agranular insular area, dorsal part, layer 2/3",3856.1054131293,186.7927299572,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Agranular insular area, dorsal part, layer 5",6968.2725034118,253.1081465654,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Agranular insular area, posterior part",4704.9054816368,415.0618194532,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Agranular insular area, posterior part, layer 1",414.1032890558,105.2630747726,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Agranular insular area, posterior part, layer 2/3",4137.724851711,564.7576507307,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Agranular insular area, posterior part, layer 5",7867.3378874285,604.9699017128,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Agranular insular area, ventral part",5118.2276588801005,236.0394791796,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Agranular insular area, ventral part, layer 1",747.9259263099001,236.9411145079,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Agranular insular area, ventral part, layer 2/3",4864.6979458909,393.5279683843,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Agranular insular area, ventral part, layer 5",7285.1630088223,240.5838381995,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
Retrosplenial area,5192.139274112,262.971617371,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Retrosplenial area, lateral agranular part",6318.0576113397,330.6396903577,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Retrosplenial area, lateral agranular part, layer 1",724.3065570164,254.485284089,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Retrosplenial area, lateral agranular part, layer 2/3",6204.032658938,402.732368221,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Retrosplenial area, lateral agranular part, layer 5",8802.3906623279,445.6646073923,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Retrosplenial area, dorsal part",5289.9983903335,270.043761356,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Retrosplenial area, dorsal part, layer 1",748.6854111337,104.9481987773,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Retrosplenial area, dorsal part, layer 2/3",4834.8120721213,376.6736935761,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Retrosplenial area, dorsal part, layer 5",7436.5242792925,326.06319065689996,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Retrosplenial area, ventral part",4894.7773476812,280.1389956054,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Retrosplenial area, ventral part, layer 1",1230.402193481,241.02298548849998,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Retrosplenial area, ventral part, layer 2",3080.654866393,561.3483957119,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Retrosplenial area, ventral part, layer 2/3",5392.3032130488,538.3372891137001,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Retrosplenial area, ventral part, layer 5",6360.8875037213,327.6504907504,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
Posterior parietal association areas,5202.0110878778005,282.3529824492,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Posterior parietal association areas, layer 1",512.3941261298,87.25638814450001,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Posterior parietal association areas, layer 2/3",3898.1732818781,280.40715275720004,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Posterior parietal association areas, layer 4",5730.0286041931995,409.9811138383,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Posterior parietal association areas, layer 5",8480.7558545175,430.3081848608,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
Temporal association areas,5769.452751987,240.1697512578,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Temporal association areas, layer 1",405.3023869453,210.28369573919997,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Temporal association areas, layer 2/3",4132.3539284606,381.5292610204,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Temporal association areas, layer 4",6910.1585138097,384.7859247339,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Temporal association areas, layer 5",8720.9585470935,300.45939507090003,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
Perirhinal area,4786.2362315762,468.032027032,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Perirhinal area, layer 1",565.8785573143,400.40392681199995,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Perirhinal area, layer 5",6653.2001322578,783.9711489178,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Perirhinal area, layer 2/3",4312.073435289601,503.5455103555,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
Ectorhinal area,5472.3532108887,584.4061087794,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
Ectorhinal area/Layer 1,566.0778678774,481.39216173830005,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
Ectorhinal area/Layer 2/3,4826.9495788686,885.2374820011,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
Ectorhinal area/Layer 5,7954.210414212,656.1282219689,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
Olfactory areas,5472.9222359708,356.0593539498,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
Main olfactory bulb,6629.4490056252,750.1536605569,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Main olfactory bulb, glomerular layer",12963.3553233532,1768.5107485653,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Main olfactory bulb, granule layer",2787.2693104561,238.548173367,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Main olfactory bulb, inner plexiform layer",2232.6662614377,273.5542299337,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Main olfactory bulb, mitral layer",3031.2791224883003,301.2758571671,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Main olfactory bulb, outer plexiform layer",6455.3053481926,588.1527313409,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
Accessory olfactory bulb,2545.1890271582997,186.3573869419,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Accessory olfactory bulb, glomerular layer",5251.9254186933,545.7641551479,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Accessory olfactory bulb, granular layer",1191.709224197,221.28365543669997,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Accessory olfactory bulb, mitral layer",1965.1414807960998,187.6162700235,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
Anterior olfactory nucleus,4094.7555681956,304.6452658178,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Anterior olfactory nucleus, dorsal part",4906.679845322999,808.8616028863,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Anterior olfactory nucleus, external part",2612.1130092416,290.09718647479997,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Anterior olfactory nucleus, lateral part",3867.4825790519,421.9304876252,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Anterior olfactory nucleus, medial part",6916.000226970999,338.3493142863,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Anterior olfactory nucleus, posteroventral part",8390.573671632701,571.2323434799,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Anterior olfactory nucleus, layer 1",1850.5263014745,262.1769799009,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
Taenia tecta,5522.2190757082,244.6780860509,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Taenia tecta, dorsal part, layer 1",1521.6991337298,266.300448807,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Taenia tecta, dorsal part, layer 2",5850.8493727036,240.69335232650002,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Taenia tecta, dorsal part, layer 3",9117.246802310201,275.1252254329,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Taenia tecta, dorsal part, layer 4",12103.33740195,772.278809274,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Taenia tecta, ventral part, layer 1",2036.6985169997,628.1554802036,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Taenia tecta, ventral part, layer 2",3219.6302859271996,993.1722577835001,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Taenia tecta, ventral part, layer 3",6296.290386629499,1082.3926056139999,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
Dorsal peduncular area,6415.457710831999,256.1909559101,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Dorsal peduncular area, layer 1",936.0863434798,415.0149750517,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Dorsal peduncular area, layer 2/3",4862.5895384636,314.0522168032,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Dorsal peduncular area, layer 5",10253.5114366397,470.0233330344,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
Piriform area,4631.0938428426,211.12341993009997,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Piriform area, molecular layer",1201.928372452,149.3526739582,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Piriform area, pyramidal layer",5061.0414456623,390.9933259321,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Piriform area, polymorph layer",7886.1642079037,298.5595660332,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
Nucleus of the lateral olfactory tract,6070.6058919559,305.6346179025,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Nucleus of the lateral olfactory tract, molecular layer",4125.4524879022,541.597909021,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Nucleus of the lateral olfactory tract, pyramidal layer",4652.0899255912,232.35597079299998,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Nucleus of the lateral olfactory tract, layer 3",11613.5287948552,713.5355494329,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
Cortical amygdalar area,7450.4359326335,410.06433886419995,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Cortical amygdalar area, anterior part",11126.339337085801,754.651747838,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Cortical amygdalar area, anterior part, layer 1",5213.830062086699,730.7017463742,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Cortical amygdalar area, anterior part, layer 2",16270.372806565,821.3095404771001,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Cortical amygdalar area, posterior part",6483.796846207199,527.7693496432,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Cortical amygdalar area, posterior part, lateral zone",6882.7882361178,742.2989801169,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Cortical amygdalar area, posterior part, lateral zone, layer 1",2424.3170287554,304.6769703958,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Cortical amygdalar area, posterior part, lateral zone, layer 2",9497.2016152955,1316.5996894692998,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Cortical amygdalar area, posterior part, lateral zone, layer 3",7896.650469281801,675.0691740267,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Cortical amygdalar area, posterior part, medial zone",6105.8506766011,364.23860013620003,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Cortical amygdalar area, posterior part, medial zone, layer 1",2494.8961159059,528.8211153748999,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Cortical amygdalar area, posterior part, medial zone, layer 2",5865.6479158881,493.0230817554,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Cortical amygdalar area, posterior part, medial zone, layer 3",7686.4262786525,444.1706279542,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
Piriform-amygdalar area,3943.1058591736,193.81699806490002,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Piriform-amygdalar area, molecular layer",1270.7973049467998,163.7149900919,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Piriform-amygdalar area, pyramidal layer",4349.2087502027,250.5779862743,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Piriform-amygdalar area, polymorph layer",6709.3264484733,356.4739941402,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
Postpiriform transition area,4495.275949621,216.45216681419998,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Postpiriform transition area, layers 1",1892.4699213663,266.5876538388,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
